encoder,opn,pre_type,use_static,use_cl,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,False,0,2024-06-16 13:38:00.963610,0.9,7,7,0.03,0.001,200,0.43923017382621765,0.3146113157272339,0.5006105303764343,0.6855244040489197,0.39642664790153503,0.26929861307144165,0.4554334580898285,0.658933699131012,0.4091130495071411,0.2817121297121048,0.4699498116970062,0.6685660183429718,0.41782841086387634,0.29195496439933777,0.4780219942331314,0.6722290515899658
uvrgcn,sub,all,True,False,0,2024-06-16 14:18:13.916024,0.9,7,7,0.03,0.001,200,0.4658752381801605,0.3483923673629761,0.5231311917304993,0.7009903788566589,0.43335530161857605,0.31379732489585876,0.4928775131702423,0.6748067140579224,0.4397842288017273,0.3181386739015579,0.5002713650465012,0.6846425533294678,0.4496152698993683,0.3310948461294174,0.5080043524503708,0.6878985464572906
uvrgcn,sub,all,True,False,0,2024-09-02 12:49:07.359307,0.9,7,7,0.03,0.001,200,0.4658752381801605,0.3483923673629761,0.5231311917304993,0.7009903788566589,0.43335530161857605,0.31379732489585876,0.4928775131702423,0.6748067140579224,0.4397842288017273,0.3181386739015579,0.5002713650465012,0.6846425533294678,0.4496152698993683,0.3310948461294174,0.5080043524503708,0.6878985464572906
uvrgcn,sub,all,True,False,0,2024-09-02 13:22:19.119791,0.9,7,7,0.03,0.001,200,0.4658752381801605,0.3483923673629761,0.5231311917304993,0.7009903788566589,0.43335530161857605,0.31379732489585876,0.4928775131702423,0.6748067140579224,0.4397842288017273,0.3181386739015579,0.5002713650465012,0.6846425533294678,0.4496152698993683,0.3310948461294174,0.5080043524503708,0.6878985464572906
uvrgcn,sub,all,True,False,0,2024-09-02 15:41:39.379605,0.9,7,7,0.03,0.001,200,0.4658752381801605,0.3483923673629761,0.5231311917304993,0.7009903788566589,0.43335530161857605,0.31379732489585876,0.4928775131702423,0.6748067140579224,0.4397842288017273,0.3181386739015579,0.5002713650465012,0.6846425533294678,0.4496152698993683,0.3310948461294174,0.5080043524503708,0.6878985464572906
uvrgcn,sub,all,True,False,0,2024-09-08 10:57:23.683515,0.9,7,7,0.03,0.001,200,0.4658752381801605,0.3483923673629761,0.5231311917304993,0.7009903788566589,0.43335530161857605,0.31379732489585876,0.4928775131702423,0.6748067140579224,0.4397842288017273,0.3181386739015579,0.5002713650465012,0.6846425533294678,0.4496152698993683,0.3310948461294174,0.5080043524503708,0.6878985464572906
uvrgcn,sub,all,True,False,0,2024-09-30 11:53:23.664452,0.9,7,7,0.03,0.001,200,0.4658752381801605,0.3483923673629761,0.5231311917304993,0.7009903788566589,0.43335530161857605,0.31379732489585876,0.4928775131702423,0.6748067140579224,0.4397842288017273,0.3181386739015579,0.5002713650465012,0.6846425533294678,0.4496152698993683,0.3310948461294174,0.5080043524503708,0.6878985464572906
uvrgcn,sub,all,True,True,0,2025-05-10 17:03:58.120877,0.9,3,3,0.03,0.001,200,0.15998011827468872,0.07163207232952118,0.16795550286769867,0.35544702410697937,0.1545850783586502,0.0733957439661026,0.16307149827480316,0.32804232835769653,0.15497352182865143,0.07054674252867699,0.16252883523702621,0.33876000344753265,0.15728259086608887,0.07251390814781189,0.16551350057125092,0.34174467623233795
uvrgcn,sub,all,True,True,0,2025-05-12 06:34:28.622810,0.9,3,3,0.03,0.001,200,0.15998011827468872,0.07163207232952118,0.16795550286769867,0.35544702410697937,0.1545850783586502,0.0733957439661026,0.16307149827480316,0.32804232835769653,0.15497352182865143,0.07054674252867699,0.16252883523702621,0.33876000344753265,0.15728259086608887,0.07251390814781189,0.16551350057125092,0.34174467623233795
uvrgcn,sub,all,True,True,0,2025-05-12 15:33:43.640972,0.9,3,3,0.03,0.001,200,0.31324636936187744,0.20092254877090454,0.35151270031929016,0.5493149161338806,0.28172245621681213,0.17595985531806946,0.315696656703949,0.5033238530158997,0.2935207486152649,0.18369285762310028,0.3310948461294174,0.52414870262146,0.2974843978881836,0.188441202044487,0.33360467851161957,0.5263193845748901
